"time","lsst.sal.GenericCamera.logevent_endReadout.imageName"
"2020-01-23T00:21:19.666Z","1579738858-targetName_intra-0-1"
"2020-01-23T01:27:30.893Z","1579742830-targetName_intra-0-1"
"2020-01-23T01:27:58.796Z","1579742858-targetName_extra-0-1"
"2020-01-23T01:32:47.733Z","1579743147-targetName_intra-0-1"
"2020-01-23T01:33:15.748Z","1579743175-targetName_extra-0-1"
"2020-01-23T01:43:49.326Z","1579743808-targetName_intra-0-1"
"2020-01-23T01:44:20.204Z","1579743839-targetName_extra-0-1"
"2020-01-23T01:47:12.355Z","1579744001-targetName_intra-0-1"
"2020-01-23T01:47:49.779Z","1579744039-targetName_extra-0-1"
"2020-01-23T01:49:47.806Z","1579744143-targetName_intra-0-1"
"2020-01-23T01:50:12.093Z","1579744181-targetName_extra-0-1"
"2020-01-23T01:51:57.911Z","1579744287-targetName_intra-0-1"
"2020-01-23T01:52:35.730Z","1579744325-targetName_extra-0-1"
"2020-01-23T01:54:40.126Z","1579744449-targetName_intra-0-1"
"2020-01-23T01:55:21.718Z","1579744487-targetName_extra-0-1"
"2020-01-23T01:56:48.595Z","1579744572-targetName_intra-0-1"
"2020-01-23T01:57:21.253Z","1579744610-targetName_extra-0-1"
"2020-01-23T02:00:00.465Z","1579744769-targetName_intra-0-1"
"2020-01-23T02:00:38.346Z","1579744807-targetName_extra-0-1"
"2020-01-23T02:02:37.295Z","1579744926-targetName_intra-0-1"
"2020-01-23T02:03:15.253Z","1579744964-targetName_extra-0-1"
"2020-01-23T02:06:34.106Z","1579745160-targetName_intra-0-1"
"2020-01-23T02:07:19.985Z","1579745198-targetName_extra-0-1"
"2020-01-23T02:11:30.217Z","1579745457-HD29573_intra-0-1"
"2020-01-23T02:12:06.465Z","1579745495-HD29573_extra-0-1"
"2020-01-23T02:14:30.809Z","1579745639-HD29573_intra-0-1"
"2020-01-23T02:15:07.981Z","1579745677-HD29573_extra-0-1"
"2020-01-23T02:16:54.906Z","1579745771-HD29573_intra-0-1"
"2020-01-23T02:17:20.195Z","1579745809-HD29573_extra-0-1"
"2020-01-23T02:25:45.786Z","1579746315-HD44323_intra-0-1"
"2020-01-23T02:26:23.620Z","1579746353-HD44323_extra-0-1"
"2020-01-23T02:30:15.465Z","1579746584-HD44323_intra-0-1"
"2020-01-23T02:30:53.555Z","1579746622-HD44323_extra-0-1"
"2020-01-23T02:33:02.623Z","1579746752-HD44323_intra-0-1"
"2020-01-23T02:33:40.607Z","1579746789-HD44323_extra-0-1"
"2020-01-23T02:36:16.517Z","1579746945-HD44323_intra-0-1"
"2020-01-23T02:36:54.447Z","1579746983-HD44323_extra-0-1"
"2020-01-23T02:38:37.678Z","1579747083-HD44323_intra-0-1"
"2020-01-23T02:39:22.665Z","1579747120-HD44323_extra-0-1"
"2020-01-23T02:48:01.306Z","1579747650-HD44323_intra-0-1"
"2020-01-23T02:48:39.331Z","1579747688-HD44323_extra-0-1"
"2020-01-23T03:01:02.717Z","1579748432-HD55070_intra-0-1"
"2020-01-23T03:01:42.447Z","1579748470-HD55070_extra-0-1"
