,intra,extra,az,el,rot_pos,x,y,z,u,v,w
0,1579742830-targetName_intra-0-1,1579742858-targetName_extra-0-1,-9.35749125501686,71.7295273267114,-0.691649716468596,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
1,1579743147-targetName_intra-0-1,1579743175-targetName_extra-0-1,-13.386102128546767,71.50599818139858,-68.07360070774142,-4.349999213219999,-1.3381199999162874e-06,0.46500155518999997,0.3500006508,0.3500006508,0.0
2,1579743808-targetName_intra-0-1,1579743839-targetName_extra-0-1,-21.467639977359976,70.78231498625829,-61.864079108903205,-4.849999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
3,1579744001-targetName_intra-0-1,1579744039-targetName_extra-0-1,-23.79129564507487,70.4960906806297,-60.135882735695304,-5.349999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
4,1579744143-targetName_intra-0-1,1579744181-targetName_extra-0-1,-25.47284224920267,70.2648025586161,-58.91498614107123,-5.849999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
5,1579744287-targetName_intra-0-1,1579744325-targetName_extra-0-1,-26.981532162360363,70.04212813396184,-57.839156777062996,-6.349999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
6,1579744449-targetName_intra-0-1,1579744487-targetName_extra-0-1,-28.73882123386996,69.79057318744223,-56.58131554627956,-4.849999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
7,1579744572-targetName_intra-0-1,1579744610-targetName_extra-0-1,-30.071109926656113,69.58111025201177,-55.65117363632105,-3.7499992132199997,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
8,1579744769-targetName_intra-0-1,1579744807-targetName_extra-0-1,-32.049405483665645,69.23505244551751,-54.31363307570698,-3.2499992132199997,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
9,1579744926-targetName_intra-0-1,1579744964-targetName_extra-0-1,-33.64536305560569,68.92838309223364,-53.26950760072319,-2.7499992132199997,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
10,1579745160-targetName_intra-0-1,1579745198-targetName_extra-0-1,-35.90428768743861,68.45772070030183,-51.840487242506384,-2.2499992132199997,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
11,1579745457-HD29573_intra-0-1,1579745495-HD29573_extra-0-1,-38.6359627013347,67.7874942505357,-50.23924086815597,-4.349999213219999,0.19999866188000004,0.5600015551899999,0.3500006508,0.3500006508,0.0
12,1579745639-HD29573_intra-0-1,1579745677-HD29573_extra-0-1,-40.22506939830267,67.36643594437646,-49.350749716611666,-4.349999213219999,-0.80000133812,0.5600015551899999,0.3500006508,0.3500006508,0.0
13,1579745771-HD29573_intra-0-1,1579745809-HD29573_extra-0-1,-41.46799053429174,67.0396555207995,-48.65731818465557,-4.349999213219999,1.19999866188,0.5600015551899999,0.3500006508,0.3500006508,0.0
14,1579746315-HD44323_intra-0-1,1579746353-HD44323_extra-0-1,124.81952473500574,82.42150105638875,-82.3042395993064,-4.349999213219999,-1.3381199999162874e-06,0.5600015551899999,0.3500006508,0.3500006508,0.0
15,1579746584-HD44323_intra-0-1,1579746622-HD44323_extra-0-1,128.88930929189314,83.19957253695152,-86.20421414886178,-4.349999213219999,-0.5000013381199999,0.5600015551899999,0.3500006508,0.3500006508,0.0
16,1579746752-HD44323_intra-0-1,1579746789-HD44323_extra-0-1,131.93252448602033,83.6639304731894,-89.16339218532384,-4.349999213219999,-1.0000013381200001,0.5600015551899999,0.3500006508,0.3500006508,0.0
17,1579746945-HD44323_intra-0-1,1579746983-HD44323_extra-0-1,135.91104485050832,84.16635872278955,-93.07006993851809,-4.349999213219999,0.4999986618800001,0.5600015551899999,0.3500006508,0.3500006508,0.0
18,1579747083-HD44323_intra-0-1,1579747120-HD44323_extra-0-1,139.19690130838796,84.50005010330818,-96.32820158381499,-4.349999213219999,0.9999986618800001,0.5600015551899999,0.3500006508,0.3500006508,0.0
19,1579747650-HD44323_intra-0-1,1579747688-HD44323_extra-0-1,157.91020842743487,85.5673587548948,-99.09516231446754,-4.349999213219999,0.9999986618800001,0.40000155519,0.3500006508,0.3500006508,0.0
20,1579748432-HD55070_intra-0-1,1579748470-HD55070_extra-0-1,77.53926867543264,79.71956598690007,-77.54061305176984,-4.349999213219999,-1.3381199999162874e-06,0.37000155519,0.3500006508,0.3500006508,0.0
21,1579748807-HD55070_intra-0-1,1579748845-HD55070_extra-0-1,74.84642161417527,81.04843016715103,-74.28817349373223,-4.349999213219999,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
22,1579749249-HD55070_intra-0-1,1579749287-HD55070_extra-0-1,70.54279941925725,82.60059669453786,-80.22176878011706,-4.349999213219999,0.4999986618800001,0.3950015551899999,0.3500006508,0.3500006508,0.0
23,1579749407-HD55070_intra-0-1,1579749445-HD55070_extra-0-1,68.7018357666303,83.1039643145683,-78.17994149682652,-4.349999213219999,0.9999986618800001,0.3950015551899999,0.3500006508,0.3500006508,0.0
24,1579749606-HD55070_intra-0-1,1579749644-HD55070_extra-0-1,65.83172234559082,83.7683234536737,-83.3909287625564,-4.349999213219999,1.49999866188,0.3950015551899999,0.3500006508,0.3500006508,0.0
25,1579749903-HD55070_intra-0-1,1579749941-HD55070_extra-0-1,60.926099659066125,84.70380378707354,-82.82264855238897,-4.349999213219999,-0.5000013381199999,0.3950015551899999,0.3500006508,0.3500006508,0.0
26,1579750057-HD55070_intra-0-1,1579750095-HD55070_extra-0-1,57.30008512433454,85.20657974898346,-84.8244331715668,-4.349999213219999,-1.0000013381200001,0.3950015551899999,0.3500006508,0.3500006508,0.0
27,1579750206-HD55070_intra-0-1,1579750243-HD55070_extra-0-1,53.34519456569071,85.64459115165744,-80.78575560102317,-4.349999213219999,-1.5000013381200001,0.3950015551899999,0.3500006508,0.3500006508,0.0
28,1579751094-HD67456_intra-0-1,1579751132-HD67456_extra-0-1,57.06485442929546,73.82327683002538,-71.29285340833498,-4.349999213219999,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
29,1579751339-HD67456_intra-0-1,1579751377-HD67456_extra-0-1,54.87500273803659,74.53212677821995,-74.53963518604368,-4.74999921322,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
30,1579751516-HD67456_intra-0-1,1579751554-HD67456_extra-0-1,53.06453412990899,75.0607138115696,-72.53238567441538,-5.24999921322,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
31,1579751723-HD67456_intra-0-1,1579751761-HD67456_extra-0-1,50.87328880513542,75.64574947793244,-75.50830721060613,-5.74999921322,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
32,1579751860-HD67456_intra-0-1,1579751898-HD67456_extra-0-1,49.3123855645757,76.05379767847468,-73.79769593735466,-3.8499992132199994,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
33,1579752043-HD67456_intra-0-1,1579752081-HD67456_extra-0-1,47.110860570325364,76.56131719355204,-76.37361834829572,-3.3499992132199994,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
34,1579752169-HD67456_intra-0-1,1579752207-HD67456_extra-0-1,45.583270848464835,76.88538509969582,-74.75630429287615,-2.8499992132199994,-1.3381199999162874e-06,0.3950015551899999,0.3500006508,0.3500006508,0.0
35,1579752480-HD67456_intra-0-1,1579752518-HD67456_extra-0-1,41.359177325860315,77.6416285301576,-79.13739176056578,-4.349999213219999,-1.3381199999162874e-06,0.44000155519000006,0.3500006508,0.3500006508,0.0
36,1579752801-HD67456_intra-0-1,1579752839-HD67456_extra-0-1,36.58036494995894,78.35536402331803,-74.50453950585833,-4.44999921322,0.09999866187999995,0.44000155519000006,0.3500006508,0.3500006508,0.0
37,1579753215-HD67456_intra-0-1,1579753253-HD67456_extra-0-1,29.351713372875565,79.18224148199276,-76.48774641990835,-4.54999921322,0.09999866187999995,0.44000155519000006,0.3500006508,0.3500006508,0.0
38,1579753564-HD67456_intra-0-1,1579753602-HD67456_extra-0-1,22.580197667260716,79.73605184562818,-78.41491621590119,-4.54999921322,0.09999866187999995,0.44000155519000006,0.3500006508,0.3500006508,0.0
39,1579754156-HD63752_intra-0-1,1579754194-HD63752_extra-0-1,-6.939839876255833,68.95655671616665,-68.93553782516211,-4.54999921322,0.09999866187999995,0.44000155519000006,0.3500006508,0.3500006508,0.0
40,1579754397-HD63752_intra-0-1,1579754435-HD63752_extra-0-1,-9.655248896337456,68.83331904288193,-66.68778792640646,-4.44999921322,0.09999866187999995,0.44000155519000006,0.3500006508,0.3500006508,0.0
