,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure
0,1579832794-HD82741_intra-0-1,1579832831-HD82741_extra-0-1,-52.11215852804305,78.72051292897343,-75.99540257108723,-4.35,0.1,0.5179999999999999,0.35,0.35,0.0,124695.35679931636
1,1579833109-HD82741_intra-0-1,1579833147-HD82741_extra-0-1,-55.87579920795634,77.82551322666019,-73.70514966074083,-4.35,0.1,0.5179999999999999,0.35,0.35,0.0,124226.82858269353
2,1579833201-HD82741_intra-0-1,1579833238-HD82741_extra-0-1,-56.94936775173327,77.53726364299253,-73.1008511335036,-4.35,0.1,0.5179999999999999,0.35,0.35,0.0,124188.86263102214
3,1579833798-HD82741_intra-0-1,1579833836-HD82741_extra-0-1,-62.77259721071414,75.65947596196338,-80.04079220720496,-4.35,0.1,0.41800000000000015,0.35,0.35,0.0,122930.74287109371
4,1579834188-HD82741_intra-0-1,1579834225-HD82741_extra-0-1,-65.86063992151524,74.39346969397796,-78.95726100217578,-4.35,0.1,0.45799999999999996,0.35,0.35,0.0,122449.94202880854
5,1579836061-HD82741_intra-0-1,1579836103-HD82741_extra-0-1,-76.262466790046,67.98770111815504,-73.60665099558209,-4.35,0.1,0.44281632865183496,0.35,0.35,0.0,117537.06596740123
6,1579836171-HD82741_intra-0-1,1579836214-HD82741_extra-0-1,-76.72101360997847,67.60173138554278,-73.74698345686207,-4.35,0.1,0.44320196932143974,0.35,0.35,0.0,116817.98594627016
7,1579836591-HD82741_intra-0-1,1579836634-HD82741_extra-0-1,-78.37742124998921,66.1146011783699,-74.39714603966065,-4.35,0.1,0.4590695219767218,0.35,0.35,0.0,115688.23298252653
8,1579836965-HD82741_intra-0-1,1579837038-HD82741_extra-0-1,-79.82877120071318,64.68900955119388,-69.87840941485253,-4.35,0.1,0.4320689678666363,0.35,0.35,0.0,114200.9055316049
9,1579837309-HD82741_intra-0-1,1579837381-HD82741_extra-0-1,-80.97931486174865,63.46626894229749,-67.83589882791958,-4.35,0.1,0.5090841926809169,0.35,0.35,0.0,112716.51207783388
10,1579837731-HD82741_intra-0-1,1579837800-HD82741_extra-0-1,-82.2919569091476,61.9677373454894,-59.49828938338635,-4.35,0.1,0.4347330238672704,0.35,0.35,0.0,110931.38155872964
11,1579838136-HD82741_intra-0-1,1579838209-HD82741_extra-0-1,-83.48101335348433,60.509891990998376,-60.575530395324826,-4.35,0.1,0.45175271652109217,0.35,0.35,0.0,109359.50964529855
12,1579839060-ksiPup_intra-0-1,1579839133-ksiPup_extra-0-1,22.035486046054658,84.3607200104278,-81.58573967754994,-4.35,0.1,0.4328139152138397,0.35,0.35,0.0,126502.10743991342
13,1579840238-ksiPup_intra-0-1,1579840282-ksiPup_extra-0-1,-22.338525453617432,84.35622946723286,-60.07440391437084,-5.0381088018417355,0.04761493210294088,0.4328088971544194,0.35,0.35,0.0,126649.88629093612
14,1579840712-ksiPup_intra-0-1,1579840756-ksiPup_extra-0-1,-37.41481221864454,83.4834258652119,-81.08198533902745,-5.0381088018417355,0.049155040088869395,0.4330316131949057,0.35,0.35,0.0,126412.86730506681
15,1579841085-ksiPup_intra-0-1,1579841129-ksiPup_extra-0-1,-46.30254464151625,82.58779155339836,-83.03155715474345,-5.0381088018417355,0.05102025246026809,0.45001012175343447,0.35,0.35,0.0,126357.34422679935
16,1579841382-ksiPup_intra-0-1,1579841426-ksiPup_extra-0-1,-51.99831882015973,81.77594321892917,-78.72562612200103,-5.0381088018417355,0.05293522077025736,0.45028107543619167,0.35,0.35,0.0,126001.35297605072
17,1579841532-ksiPup_intra-0-1,1579841576-ksiPup_extra-0-1,-54.47610432963643,81.34322026414425,-76.97175093990955,-5.0381088018417355,0.05405310671393737,0.45043785483146437,0.35,0.35,0.0,126662.56228181414
18,1579841642-ksiPup_intra-0-1,1579841686-ksiPup_extra-0-1,-56.15025472450898,81.01745209950505,-75.83699894310608,-5.0381088018417355,0.054937909907118776,0.45056123717542873,0.35,0.35,0.0,127465.63407287594
19,1579841797-ksiPup_intra-0-1,1579841841-ksiPup_extra-0-1,-58.36710258825742,80.544945035249,-84.99194795832395,-5.0381088018417355,0.05629953701676538,0.4507499165740587,0.35,0.35,0.0,128311.28548959582
20,1579841987-ksiPup_intra-0-1,1579842031-ksiPup_extra-0-1,-60.84461545059599,79.96040983699916,-83.47074109790816,-5.0381088018417355,0.058082454709628806,0.4509948455713507,0.35,0.35,0.0,129226.06741493006
21,1579842198-ksiPup_intra-0-1,1579842242-ksiPup_extra-0-1,-63.24298582458021,79.30581297426278,-82.1320604140332,-5.0381088018417355,0.06025391931348434,0.45129000587253654,0.35,0.35,0.0,130019.3403057392
22,1579842478-ksiPup_intra-0-1,1579842523-ksiPup_extra-0-1,-65.94711903133201,78.37347772391944,-80.90982741399124,-5.0381088018417355,0.06362898894260649,0.45174222906282824,0.35,0.35,0.0,123556.30758429633
23,1579842619-ksiPup_intra-0-1,1579842663-ksiPup_extra-0-1,-67.22780170687005,77.8830409779042,-80.40630883549812,-5.0381088018417355,0.06542660142784618,0.45197999026635816,0.35,0.35,0.0,122335.79301323785
24,1579842744-ksiPup_intra-0-1,1579842788-ksiPup_extra-0-1,-68.20564972845348,77.48856505591553,-80.05329725867193,-5.0381088018417355,0.06712205647796843,0.4522023470345976,0.35,0.35,0.0,121125.9595171415
25,1579842868-ksiPup_intra-0-1,1579842912-ksiPup_extra-0-1,-69.18940566853537,77.06873995455398,-79.73469409512025,-5.0381088018417355,0.06891027968796504,0.4524349419411582,0.35,0.35,0.0,119829.97373663155
26,1579842988-ksiPup_intra-0-1,1579843032-ksiPup_extra-0-1,-70.10336537308936,76.6545101984231,-79.4733878828603,-5.0381088018417355,0.07070811242083375,0.4526668513052259,0.35,0.35,0.0,118605.17592081707
27,1579843128-ksiPup_intra-0-1,1579843172-ksiPup_extra-0-1,-71.06558061062623,76.19014372538241,-79.24281117462289,-5.0381088018417355,0.07292538564169959,0.4529502834511747,0.35,0.35,0.0,123243.64297408315
28,1579843990-tau02Hya_intra-0-1,1579844035-tau02Hya_extra-0-1,15.360901839017087,60.23369963947057,-63.061373372202176,-5.0381088018417355,0.2295992287516606,0.45226699628313194,0.35,0.35,0.0,108763.62462576729
29,1579844238-tau02Hya_intra-0-1,1579844282-tau02Hya_extra-0-1,13.322671863764272,60.45703223622978,-61.09118316342217,-5.0381088018417355,0.22595068667421758,0.39677687863551436,0.35,0.35,0.0,109052.64172422538
30,1579844477-tau02Hya_intra-0-1,1579844521-tau02Hya_extra-0-1,11.331234630776985,60.6403984294095,-59.19729178980169,-5.0381088018417355,0.22298638484158273,0.5068580725890541,0.35,0.35,0.0,109276.23818676293
31,1579844897-tau02Hya_intra-0-1,1579844941-tau02Hya_extra-0-1,7.786279990334508,60.90071126046407,-64.670048467544,-5.0381088018417355,0.21883263132057706,0.5064910083985483,0.35,0.35,0.0,104610.86376534254
32,1579845024-tau02Hya_intra-0-1,1579845068-tau02Hya_extra-0-1,6.708569455614655,60.95919367627979,-63.68217366757914,-5.0381088018417355,0.21791002706565532,0.5064091715321875,0.35,0.35,0.0,105621.9148654382
33,1579845145-tau02Hya_intra-0-1,1579845185-tau02Hya_extra-0-1,5.6914319245366976,61.00641662807344,-62.75726076493609,-5.0381088018417355,0.21716040031802963,0.506342595146262,0.35,0.35,0.0,106670.08789913292
34,1579845322-tau02Hya_intra-0-1,1579845363-tau02Hya_extra-0-1,4.173622186724455,61.06256162509912,-61.39070008679736,-5.0381088018417355,0.2162717831445633,0.5062635771353666,0.35,0.35,0.0,107739.2114844736
35,1579845455-tau02Hya_intra-0-1,1579845499-tau02Hya_extra-0-1,3.0128502816374834,61.093997464124584,-60.35663411451013,-5.0381088018417355,0.21577789129793867,0.5062196132655592,0.35,0.35,0.0,108624.01166736416
36,1579845622-tau02Hya_intra-0-1,1579845667-tau02Hya_extra-0-1,1.5700728380424362,61.11932189775801,-59.08472836656298,-5.0381088018417355,0.21537252052424716,0.5061835046656963,0.35,0.35,0.0,109919.34842130217
37,1579845940-tau02Hya_intra-0-1,1579845984-tau02Hya_extra-0-1,-1.173752277778616,61.1216431390371,-64.96770709388763,-5.0381088018417355,0.21533003574463327,0.54692473897897,0.35,0.35,0.0,109921.65485370344
38,1579846161-tau02Hya_intra-0-1,1579846201-tau02Hya_extra-0-1,-3.0545943446570054,61.0931291340072,-63.37799501484032,-5.0381088018417355,0.21574674555140172,0.5469618597281664,0.35,0.35,0.0,110704.67523277966
39,1579846299-tau02Hya_intra-0-1,1579846343-tau02Hya_extra-0-1,-4.212286061558795,61.06159493168444,-62.409523341311754,-5.0381088018417355,0.21625522293482824,0.5470071234464673,0.35,0.35,0.0,111787.73041232636
40,1579846476-tau02Hya_intra-0-1,1579846521-tau02Hya_extra-0-1,-5.7467737720073755,61.004671815175435,-61.141551336663696,-5.0381088018417355,0.21712512183192478,0.5470844798832737,0.35,0.35,0.0,112782.66860634251
41,1579846639-tau02Hya_intra-0-1,1579846683-tau02Hya_extra-0-1,-7.171590867994277,60.940386161212814,-59.976425765332024,-5.0381088018417355,0.21809395301549683,0.5471705151525892,0.35,0.35,0.0,113906.19891357428
