,intra,extra,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,dz
0,1579914693-HD32309_intra-0-1.fits,1579914737-HD32309_extra-0-1.fits,22.866478417562757,79.09670624275095,-55.189191126339864,-4.35,0.06108639428964224,0.4346906956358969,0.35,0.35,0.0,124633.40839964614,1.5
1,1579914974-HD32309_intra-0-1.fits,1579915018-HD32309_extra-0-1.fits,17.367740190772533,79.43489586733173,-80.75285934979911,-4.35,0.05989392284317052,0.4345297281730578,0.35,0.35,0.0,124731.42027050328,1.5
2,1579916016-HD32309_intra-0-1.fits,1579916060-HD32309_extra-0-1.fits,-5.264959060603801,79.84745364758362,-70.01218679733009,-4.35,0.05850714769372356,0.47697181642958664,0.35,0.35,0.0,124966.14923330458,1.5
3,1579916251-HD32309_intra-0-1.fits,1579916296-HD32309_extra-0-1.fits,-10.315270341780248,79.73176860152698,-82.15679782579537,-4.35,0.058890767868942095,0.47702408955402853,0.35,0.35,0.0,124915.2923239249,1.5
4,1579916527-HD32309_intra-0-1.fits,1579916571-HD32309_extra-0-1.fits,-16.249145222096345,79.4994815799899,-32.114679333220316,-4.35,0.05963689360021629,0.4771254547736906,0.35,0.35,0.0,124886.49599130671,1.5
5,1579917237-HD32309_intra-0-1.fits,1579917281-HD32309_extra-0-1.fits,-29.823715504063646,78.49013546952591,-81.830320207405,-4.35,0.06319027346695938,0.4776028561639776,0.35,0.35,0.0,124309.4373775671,1.5
6,1579917372-HD32309_intra-0-1.fits,1579917416-HD32309_extra-0-1.fits,-32.109121788902044,78.24568201629563,-35.07829789237658,-4.35,0.06413922010559414,0.4777289032433968,0.35,0.35,0.0,124329.54953376253,1.5
7,1579917536-HD32309_intra-0-1.fits,1579917580-HD32309_extra-0-1.fits,-34.77638836927713,77.91582354801061,12.485230417526976,-4.35,0.06541745938515664,0.4778977609640813,0.35,0.35,0.0,124303.56475012325,1.5
8,1579918126-HD32309_intra-0-1.fits,1579918166-HD32309_extra-0-1.fits,-43.24452816879022,76.5855886622163,-76.89031560722783,-4.35,0.07112756844915236,0.478639662848674,0.35,0.35,0.0,123184.28858032226,1.5
9,1579918785-HD32309_intra-0-1.fits,1579918823-HD32309_extra-0-1.fits,-50.98156497378269,74.83839584803812,-72.08716615720036,-4.35,0.07986393841347317,0.4797389082005649,0.35,0.35,0.0,122623.84594726561,0.5
10,1579919548-HD32309_intra-0-1.fits,1579919586-HD32309_extra-0-1.fits,-58.03055111776057,72.59982138835392,-68.65063962548297,-4.35,0.09329736719144988,0.4813558977202292,0.35,0.35,0.0,120967.8433349609,0.5
11,1579919938-HD32309_intra-0-1.fits,1579919976-HD32309_extra-0-1.fits,-61.04611904231922,71.38442866237172,-67.55862584349804,-4.35,0.10173815533542285,0.48233282632242874,0.35,0.35,0.0,120234.5271484375,0.5
12,1579920024-HD32309_intra-0-1.fits,1579920068-HD32309_extra-0-1.fits,-61.67794675515381,71.10591855022795,-67.36503210589227,-4.35,0.10371253486079768,0.4825573667801841,0.35,0.35,0.0,119752.89780214182,1.5
13,1579920116-HD32309_intra-0-1.fits,1579920156-HD32309_extra-0-1.fits,-62.314891055345825,70.81617151176738,-67.18311052144529,-4.35,0.10595706650146575,0.4828110641936144,0.35,0.35,0.0,119805.85762557213,0.75
14,1579920264-HD32309_intra-0-1.fits,1579920305-HD32309_extra-0-1.fits,-63.286266118858606,70.35586551485176,-66.93297001162242,-4.35,0.10966294060290949,0.48322595803528545,0.35,0.35,0.0,119319.27288314397,1.0
15,1579921663-HD32309_intra-0-1.fits,1579921697-HD32309_extra-0-1.fits,-71.09021578575621,65.69159824021432,-66.36174596031805,-4.35,0.15536666970831625,0.9880159359663013,0.35,0.35,0.0,115068.2308113607,0.5
16,1579921743-HD32309_intra-0-1.fits,1579921779-HD32309_extra-0-1.fits,-71.26245823073903,65.17626769603537,-66.36298656120903,-4.35,0.16345524931918254,1.2888087083337036,0.35,0.35,0.0,114684.10084845289,0.8
17,1579923135-16Pup_intra-0-1.fits,1579923199-16Pup_extra-0-1.fits,56.74664996985268,71.88981520075836,-70.33042006070706,-4.35,0.09735325953391127,0.939198164331372,0.35,0.35,0.0,120221.67521046895,0.5
18,1579923271-16Pup_intra-0-1.fits,1579923337-16Pup_extra-0-1.fits,55.5367917158348,72.32826555622897,-68.94779560847888,-4.35,0.09448352381641412,1.1388642283630561,0.35,0.35,0.0,120503.70690874984,0.7
19,1579923411-16Pup_intra-0-1.fits,1579923478-16Pup_extra-0-1.fits,54.40481758096818,72.71613796005965,-67.6568810445057,-4.35,0.09177200179738065,1.3385456440317527,0.35,0.35,0.0,120855.13265517335,0.9
20,1579923818-16Pup_intra-0-1.fits,1579923882-16Pup_extra-0-1.fits,50.586859566152036,73.88392497468423,-75.21415826782146,-4.35,0.08562343606302658,0.43781160918937156,0.35,0.35,0.0,121642.3694164722,0.5
21,1579924167-16Pup_intra-0-1.fits,1579924216-16Pup_extra-0-1.fits,47.09630257656408,74.78741116699953,-78.83475854150572,-4.35,0.08031239603564533,0.4371636310416151,0.35,0.35,0.0,122314.97487563433,0.5

22,1579924627-16Pup_intra-0-1.fits,1579924676-16Pup_extra-0-1.fits,41.61506289703041,75.95248915133219,-73.00337644263494,-4.35,0.07427437659009017,0.48198187210881227,0.35,0.35,0.0,122889.85530436884,0.5
